Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.endpoints"="192.168.37.14:2379"
"insertproportion"="0"
"readallfields"="true"
"threadcount"="8"
"dotransactions"="true"
"operationcount"="50000"
"readproportion"="0.5"
"recordcount"="100000"
"measurementtype"="raw"
"docollectingdata"="false"
"command"="run"
"workload"="core"
"etcd.dial_timeout"="10s"
"requestdistribution"="uniform"
"scanproportion"="0"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 3m30.714394972s
operation,timestamp_us,latency_us
TOTAL,1716265691690788,23185
TOTAL,1716265691693325,23194
TOTAL,1716265691690633,44808
TOTAL,1716265691690630,44831
TOTAL,1716265691692032,43457
TOTAL,1716265691713128,23477
TOTAL,1716265691713140,23476
TOTAL,1716265691716538,22983
TOTAL,1716265691713982,43948
TOTAL,1716265691713168,44795
TOTAL,1716265691735459,23188
TOTAL,1716265691736632,23226
TOTAL,1716265691739542,23019
TOTAL,1716265691736614,43691
TOTAL,1716265691735473,44973
TOTAL,1716265691735500,45076
TOTAL,1716265691757983,23240
TOTAL,1716265691758666,23187
TOTAL,1716265691762580,23046
TOTAL,1716265691759870,43025
TOTAL,1716265691757940,44977
TOTAL,1716265691780324,23159
TOTAL,1716265691781243,23484
TOTAL,1716265691781870,23116
TOTAL,1716265691785646,23089
TOTAL,1716265691780588,44756
TOTAL,1716265691780458,44918
TOTAL,1716265691802913,23275
TOTAL,1716265691805000,23149
TOTAL,1716265691808748,39090
TOTAL,1716265691803496,44381
TOTAL,1716265691802929,44971
TOTAL,1716265691804737,43168
TOTAL,1716265691825426,23135
TOTAL,1716265691826206,23241
TOTAL,1716265691828172,23116
TOTAL,1716265691825355,44961
TOTAL,1716265691847861,23159
TOTAL,1716265691847924,23264
TOTAL,1716265691848579,23075
TOTAL,1716265691849469,23145
TOTAL,1716265691851307,23029
TOTAL,1716265691847891,44929
TOTAL,1716265691847915,44906
TOTAL,1716265691871035,23058
TOTAL,1716265691871679,23072
TOTAL,1716265691871199,44139
TOTAL,1716265691870328,45051
TOTAL,1716265691874344,41065
TOTAL,1716265691872622,42931
TOTAL,1716265691894770,23270
TOTAL,1716265691894110,43774
TOTAL,1716265691892836,45057
TOTAL,1716265691892832,45103
TOTAL,1716265691915398,23256
TOTAL,1716265691915576,23505
TOTAL,1716265691918054,42445
TOTAL,1716265691915351,45197
TOTAL,1716265691915424,45151
TOTAL,1716265691938677,23212
TOTAL,1716265691937905,45212
TOTAL,1716265691937896,45270
TOTAL,1716265691939091,44089
TOTAL,1716265691937948,45242
TOTAL,1716265691960595,23179
TOTAL,1716265691960513,44973
TOTAL,1716265691961903,43586
TOTAL,1716265691960562,44955
TOTAL,1716265691983233,23384
TOTAL,1716265691983199,23455
TOTAL,1716265691983185,23488
TOTAL,1716265691983790,44139
TOTAL,1716265691983134,44822
TOTAL,1716265692005516,23171
TOTAL,1716265692005495,44994
TOTAL,1716265692006689,43806
TOTAL,1716265692006667,43846
TOTAL,1716265692006631,43925
TOTAL,1716265692005529,45035
TOTAL,1716265692028698,23395
TOTAL,1716265692027966,45016
TOTAL,1716265692027938,45084
TOTAL,1716265692050577,23336
TOTAL,1716265692050533,23389
TOTAL,1716265692050515,23656
TOTAL,1716265692052105,43317
TOTAL,1716265692050578,44876
TOTAL,1716265692050503,44970
TOTAL,1716265692073942,23298
TOTAL,1716265692074184,43620
TOTAL,1716265692072995,44837
TOTAL,1716265692073036,44809
TOTAL,1716265692073924,43923
TOTAL,1716265692095499,23320
TOTAL,1716265692095433,44701
TOTAL,1716265692097254,42894
TOTAL,1716265692095467,44807
TOTAL,1716265692117881,23221
TOTAL,1716265692118839,23117
TOTAL,1716265692117861,44815
