Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"recordcount"="100000"
"dotransactions"="true"
"etcd.dial_timeout"="1s"
"scanproportion"="0"
"readallfields"="true"
"command"="run"
"workload"="core"
"updateproportion"="0"
"docollectingdata"="false"
"operationcount"="50000"
"readproportion"="0.95"
"insertproportion"="0.05"
"etcd.endpoints"="192.168.37.13:2379"
"requestdistribution"="latest"
"threadcount"="5"
**********************************************
INSERT - Takes(s): 149.6, Count: 154, OPS: 1.0, Avg(us): 115810, Min(us): 97600, Max(us): 168319, 50th(us): 110335, 90th(us): 141823, 95th(us): 149759, 99th(us): 162943, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 149.3, Count: 1613, OPS: 10.8, Avg(us): 209506, Min(us): 100672, Max(us): 262015, 50th(us): 209535, 90th(us): 224255, 95th(us): 231551, 99th(us): 241919, 99.9th(us): 251263, 99.99th(us): 262015
READ_ERROR - Takes(s): 149.9, Count: 1864, OPS: 12.4, Avg(us): 211110, Min(us): 96320, Max(us): 262399, 50th(us): 210943, 90th(us): 226943, 95th(us): 233727, 99th(us): 244991, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 149.6, Count: 1767, OPS: 11.8, Avg(us): 201340, Min(us): 97600, Max(us): 262015, 50th(us): 208511, 90th(us): 223359, 95th(us): 230143, 99th(us): 241663, 99.9th(us): 251263, 99.99th(us): 262015
INSERT - Takes(s): 159.6, Count: 166, OPS: 1.0, Avg(us): 115085, Min(us): 95104, Max(us): 168319, 50th(us): 109759, 90th(us): 139391, 95th(us): 149759, 99th(us): 162943, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 159.3, Count: 1745, OPS: 11.0, Avg(us): 209155, Min(us): 99904, Max(us): 262015, 50th(us): 209151, 90th(us): 223615, 95th(us): 230527, 99th(us): 241663, 99.9th(us): 251263, 99.99th(us): 262015
READ_ERROR - Takes(s): 159.9, Count: 1970, OPS: 12.3, Avg(us): 210816, Min(us): 96320, Max(us): 262399, 50th(us): 210687, 90th(us): 226687, 95th(us): 232959, 99th(us): 244863, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 159.6, Count: 1911, OPS: 12.0, Avg(us): 200983, Min(us): 95104, Max(us): 262015, 50th(us): 208255, 90th(us): 222847, 95th(us): 229119, 99th(us): 241279, 99.9th(us): 251263, 99.99th(us): 262015
INSERT - Takes(s): 169.6, Count: 177, OPS: 1.0, Avg(us): 114606, Min(us): 95104, Max(us): 168319, 50th(us): 109759, 90th(us): 138879, 95th(us): 147967, 99th(us): 162943, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 169.3, Count: 1876, OPS: 11.1, Avg(us): 208622, Min(us): 99584, Max(us): 262015, 50th(us): 208767, 90th(us): 222847, 95th(us): 229375, 99th(us): 241279, 99.9th(us): 251263, 99.99th(us): 262015
READ_ERROR - Takes(s): 169.9, Count: 2080, OPS: 12.2, Avg(us): 210460, Min(us): 96320, Max(us): 262399, 50th(us): 210303, 90th(us): 226303, 95th(us): 232191, 99th(us): 244735, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 169.6, Count: 2053, OPS: 12.1, Avg(us): 200517, Min(us): 95104, Max(us): 262015, 50th(us): 207487, 90th(us): 222335, 95th(us): 228479, 99th(us): 241023, 99.9th(us): 251263, 99.99th(us): 262015
INSERT - Takes(s): 179.6, Count: 191, OPS: 1.1, Avg(us): 114087, Min(us): 95104, Max(us): 168319, 50th(us): 109567, 90th(us): 138751, 95th(us): 147711, 99th(us): 162943, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 179.3, Count: 2002, OPS: 11.2, Avg(us): 208139, Min(us): 93952, Max(us): 262015, 50th(us): 208511, 90th(us): 222719, 95th(us): 228863, 99th(us): 241151, 99.9th(us): 251263, 99.99th(us): 262015
READ_ERROR - Takes(s): 179.9, Count: 2196, OPS: 12.2, Avg(us): 210092, Min(us): 96320, Max(us): 262399, 50th(us): 209919, 90th(us): 225919, 95th(us): 231167, 99th(us): 244479, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 179.6, Count: 2193, OPS: 12.2, Avg(us): 199948, Min(us): 93952, Max(us): 262015, 50th(us): 207103, 90th(us): 221695, 95th(us): 228223, 99th(us): 240767, 99.9th(us): 251263, 99.99th(us): 262015
INSERT - Takes(s): 189.6, Count: 200, OPS: 1.1, Avg(us): 113710, Min(us): 95104, Max(us): 168319, 50th(us): 108991, 90th(us): 138367, 95th(us): 147711, 99th(us): 162943, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 189.3, Count: 2144, OPS: 11.3, Avg(us): 207779, Min(us): 93952, Max(us): 262015, 50th(us): 208127, 90th(us): 222079, 95th(us): 228351, 99th(us): 241023, 99.9th(us): 251263, 99.99th(us): 262015
READ_ERROR - Takes(s): 189.9, Count: 2293, OPS: 12.1, Avg(us): 209862, Min(us): 96320, Max(us): 262399, 50th(us): 209535, 90th(us): 225407, 95th(us): 230783, 99th(us): 244351, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 189.6, Count: 2344, OPS: 12.4, Avg(us): 199753, Min(us): 93952, Max(us): 262015, 50th(us): 206719, 90th(us): 221439, 95th(us): 227711, 99th(us): 240255, 99.9th(us): 251263, 99.99th(us): 262015
INSERT - Takes(s): 199.6, Count: 209, OPS: 1.0, Avg(us): 113375, Min(us): 95104, Max(us): 168319, 50th(us): 108735, 90th(us): 137343, 95th(us): 147711, 99th(us): 162943, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 199.3, Count: 2283, OPS: 11.5, Avg(us): 207562, Min(us): 93952, Max(us): 262015, 50th(us): 207871, 90th(us): 221695, 95th(us): 227967, 99th(us): 240255, 99.9th(us): 251263, 99.99th(us): 262015
READ_ERROR - Takes(s): 199.9, Count: 2393, OPS: 12.0, Avg(us): 209629, Min(us): 96320, Max(us): 262399, 50th(us): 209023, 90th(us): 225023, 95th(us): 230271, 99th(us): 243583, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 199.6, Count: 2492, OPS: 12.5, Avg(us): 199663, Min(us): 93952, Max(us): 262015, 50th(us): 206591, 90th(us): 220799, 95th(us): 227071, 99th(us): 239999, 99.9th(us): 251263, 99.99th(us): 262015
INSERT - Takes(s): 209.6, Count: 211, OPS: 1.0, Avg(us): 113311, Min(us): 95104, Max(us): 168319, 50th(us): 108735, 90th(us): 137343, 95th(us): 147199, 99th(us): 162943, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 209.3, Count: 2429, OPS: 11.6, Avg(us): 207500, Min(us): 93952, Max(us): 262015, 50th(us): 207743, 90th(us): 221183, 95th(us): 227455, 99th(us): 240255, 99.9th(us): 251263, 99.99th(us): 262015
READ_ERROR - Takes(s): 209.9, Count: 2490, OPS: 11.9, Avg(us): 209536, Min(us): 96320, Max(us): 262399, 50th(us): 208895, 90th(us): 224767, 95th(us): 230015, 99th(us): 243583, 99.9th(us): 258431, 99.99th(us): 262399
TOTAL  - Takes(s): 209.6, Count: 2640, OPS: 12.6, Avg(us): 199972, Min(us): 93952, Max(us): 262015, 50th(us): 206463, 90th(us): 220287, 95th(us): 226687, 99th(us): 239999, 99.9th(us): 248319, 99.99th(us): 262015
INSERT - Takes(s): 219.6, Count: 225, OPS: 1.0, Avg(us): 112936, Min(us): 95104, Max(us): 168319, 50th(us): 108543, 90th(us): 136319, 95th(us): 147199, 99th(us): 162943, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 219.3, Count: 2564, OPS: 11.7, Avg(us): 207266, Min(us): 93952, Max(us): 262015, 50th(us): 207487, 90th(us): 220543, 95th(us): 226815, 99th(us): 239999, 99.9th(us): 248319, 99.99th(us): 262015
READ_ERROR - Takes(s): 219.9, Count: 2592, OPS: 11.8, Avg(us): 209342, Min(us): 96320, Max(us): 262399, 50th(us): 208639, 90th(us): 224127, 95th(us): 229759, 99th(us): 243583, 99.9th(us): 256383, 99.99th(us): 262399
TOTAL  - Takes(s): 219.6, Count: 2789, OPS: 12.7, Avg(us): 199656, Min(us): 93952, Max(us): 262015, 50th(us): 206335, 90th(us): 220031, 95th(us): 226047, 99th(us): 239743, 99.9th(us): 248319, 99.99th(us): 262015
INSERT - Takes(s): 229.6, Count: 243, OPS: 1.1, Avg(us): 112382, Min(us): 93312, Max(us): 168319, 50th(us): 108543, 90th(us): 131839, 95th(us): 147199, 99th(us): 162943, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 229.3, Count: 2699, OPS: 11.8, Avg(us): 207075, Min(us): 93952, Max(us): 262015, 50th(us): 207231, 90th(us): 220287, 95th(us): 226559, 99th(us): 239871, 99.9th(us): 248319, 99.99th(us): 262015
READ_ERROR - Takes(s): 229.9, Count: 2692, OPS: 11.7, Avg(us): 209157, Min(us): 96320, Max(us): 262399, 50th(us): 208511, 90th(us): 223743, 95th(us): 229503, 99th(us): 243455, 99.9th(us): 256383, 99.99th(us): 262399
TOTAL  - Takes(s): 229.6, Count: 2942, OPS: 12.8, Avg(us): 199254, Min(us): 93312, Max(us): 262015, 50th(us): 206207, 90th(us): 219647, 95th(us): 225535, 99th(us): 239615, 99.9th(us): 248319, 99.99th(us): 262015
INSERT - Takes(s): 239.6, Count: 259, OPS: 1.1, Avg(us): 111987, Min(us): 93312, Max(us): 168319, 50th(us): 108479, 90th(us): 129855, 95th(us): 146303, 99th(us): 162303, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 239.3, Count: 2841, OPS: 11.9, Avg(us): 206896, Min(us): 93952, Max(us): 262015, 50th(us): 207103, 90th(us): 220031, 95th(us): 225791, 99th(us): 239743, 99.9th(us): 248319, 99.99th(us): 262015
READ_ERROR - Takes(s): 239.9, Count: 2790, OPS: 11.6, Avg(us): 208949, Min(us): 96320, Max(us): 262399, 50th(us): 208511, 90th(us): 223487, 95th(us): 229247, 99th(us): 242431, 99.9th(us): 256383, 99.99th(us): 262399
TOTAL  - Takes(s): 239.6, Count: 3100, OPS: 12.9, Avg(us): 198967, Min(us): 93312, Max(us): 262015, 50th(us): 206207, 90th(us): 219391, 95th(us): 224767, 99th(us): 238975, 99.9th(us): 248319, 99.99th(us): 262015
INSERT - Takes(s): 249.6, Count: 276, OPS: 1.1, Avg(us): 111535, Min(us): 93312, Max(us): 168319, 50th(us): 108031, 90th(us): 128127, 95th(us): 143487, 99th(us): 162303, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 249.3, Count: 2981, OPS: 12.0, Avg(us): 206790, Min(us): 93952, Max(us): 262015, 50th(us): 207103, 90th(us): 219647, 95th(us): 225151, 99th(us): 238975, 99.9th(us): 248319, 99.99th(us): 262015
READ_ERROR - Takes(s): 249.9, Count: 2886, OPS: 11.5, Avg(us): 208690, Min(us): 96320, Max(us): 262399, 50th(us): 208383, 90th(us): 222975, 95th(us): 229119, 99th(us): 242175, 99.9th(us): 256383, 99.99th(us): 262399
TOTAL  - Takes(s): 249.6, Count: 3257, OPS: 13.1, Avg(us): 198718, Min(us): 93312, Max(us): 262015, 50th(us): 206207, 90th(us): 219007, 95th(us): 223999, 99th(us): 238463, 99.9th(us): 248319, 99.99th(us): 262015
INSERT - Takes(s): 259.6, Count: 293, OPS: 1.1, Avg(us): 111116, Min(us): 93312, Max(us): 168319, 50th(us): 107903, 90th(us): 125759, 95th(us): 141823, 99th(us): 162303, 99.9th(us): 168319, 99.99th(us): 168319
READ   - Takes(s): 259.3, Count: 3133, OPS: 12.1, Avg(us): 206557, Min(us): 93952, Max(us): 262015, 50th(us): 206847, 90th(us): 219263, 95th(us): 224639, 99th(us): 238975, 99.9th(us): 248319, 99.99th(us): 262015
