Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"requestdistribution"="latest"
"readallfields"="true"
"command"="run"
"threadcount"="5"
"insertproportion"="0.05"
"readproportion"="0.95"
"etcd.dial_timeout"="1s"
"operationcount"="50000"
"dotransactions"="true"
"etcd.endpoints"="192.168.37.11:2379"
"updateproportion"="0"
"workload"="core"
"recordcount"="100000"
"scanproportion"="0"
"docollectingdata"="false"
**********************************************
READ_ERROR - Takes(s): 159.9, Count: 3058, OPS: 19.1, Avg(us): 121483, Min(us): 52288, Max(us): 159359, 50th(us): 121983, 90th(us): 131455, 95th(us): 134655, 99th(us): 139903, 99.9th(us): 152575, 99.99th(us): 159359
TOTAL  - Takes(s): 159.9, Count: 3674, OPS: 23.0, Avg(us): 116528, Min(us): 53344, Max(us): 152703, 50th(us): 120767, 90th(us): 131007, 95th(us): 134271, 99th(us): 140799, 99.9th(us): 147711, 99.99th(us): 152703
INSERT - Takes(s): 169.8, Count: 379, OPS: 2.2, Avg(us): 69430, Min(us): 53120, Max(us): 120831, 50th(us): 64639, 90th(us): 91519, 95th(us): 97919, 99th(us): 108799, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 169.9, Count: 3567, OPS: 21.0, Avg(us): 121349, Min(us): 53920, Max(us): 152703, 50th(us): 121599, 90th(us): 131199, 95th(us): 134271, 99th(us): 140799, 99.9th(us): 147711, 99.99th(us): 152703
READ_ERROR - Takes(s): 169.9, Count: 3219, OPS: 18.9, Avg(us): 121343, Min(us): 52288, Max(us): 159359, 50th(us): 121855, 90th(us): 131199, 95th(us): 134527, 99th(us): 139903, 99.9th(us): 152575, 99.99th(us): 159359
TOTAL  - Takes(s): 169.9, Count: 3946, OPS: 23.2, Avg(us): 116362, Min(us): 53120, Max(us): 152703, 50th(us): 120639, 90th(us): 130751, 95th(us): 134015, 99th(us): 140671, 99.9th(us): 147711, 99.99th(us): 152703
INSERT - Takes(s): 179.8, Count: 395, OPS: 2.2, Avg(us): 69188, Min(us): 53120, Max(us): 120831, 50th(us): 64479, 90th(us): 91455, 95th(us): 97855, 99th(us): 108799, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 179.9, Count: 3835, OPS: 21.3, Avg(us): 121197, Min(us): 53920, Max(us): 152703, 50th(us): 121343, 90th(us): 130943, 95th(us): 134143, 99th(us): 140799, 99.9th(us): 147711, 99.99th(us): 152703
READ_ERROR - Takes(s): 179.9, Count: 3361, OPS: 18.7, Avg(us): 121251, Min(us): 52288, Max(us): 159359, 50th(us): 121727, 90th(us): 131071, 95th(us): 134399, 99th(us): 139903, 99.9th(us): 152575, 99.99th(us): 159359
TOTAL  - Takes(s): 179.9, Count: 4230, OPS: 23.5, Avg(us): 116341, Min(us): 53120, Max(us): 152703, 50th(us): 120511, 90th(us): 130495, 95th(us): 133631, 99th(us): 140287, 99.9th(us): 147711, 99.99th(us): 152703
